Year,Birth Rate,RevImmigration,LumpEleUnity
1821,50.14457635,99.09246607,59.21312895
1822,49.79212656,98.74234417,99.75649345
1823,49.43967676,98.39222228,121.6300935
1824,49.08722697,98.04210038,124.8339291
1825,48.73477718,97.69197849,133.7709703
1826,48.38232738,97.34185659,148.441217
1827,48.02987759,96.99173469,168.8446693
1828,47.6774278,96.6416128,194.9813272
1829,47.32497801,96.2914909,222.4103007
1830,46.97252821,95.94136901,251.1315896
1831,46.19849533,95.59124711,281.1451941
1832,45.42446245,95.24112522,312.4511141
1833,44.65042957,94.89100332,340.1734209
1834,43.87639669,94.54088143,364.3121145
1835,43.10236382,94.19075953,384.8671949
1836,42.32833094,93.84063764,401.8386621
1837,41.55429806,93.49051574,422.9468341
1838,40.78026518,93.14039384,448.1917109
1839,40.0062323,92.79027195,477.5732925
1840,39.23219942,92.44015005,511.0915789
1841,38.45816654,92.09002816,540.9852475
1842,37.68413366,91.73990626,567.2542983
1843,36.91010078,91.38978437,589.8987313
1844,36.1360679,91.03966247,608.9185465
1845,35.36203502,90.68954058,626.9182632
1846,34.58800214,90.33941868,643.8978814
1847,33.81396926,89.98929679,659.8574011
1848,33.03993638,89.63917489,674.7968223
1849,32.2659035,89.28905299,695.350671
1850,31.49187062,88.9389311,721.5189472
1851,31.31224996,88.72958655,753.3016509
1852,31.13262929,88.52024201,790.6987821
1853,30.95300863,88.31089746,822.6621813
1854,30.77338796,88.10155292,849.1918485
1855,30.5937673,87.89220837,870.2877837
1856,30.41414664,87.68286383,885.9499869
1857,30.23452597,87.47351928,901.2161784
1858,30.05490531,87.26417474,916.0863582
1859,29.87528464,87.05483019,930.5605263
1860,29.69566398,86.84548565,944.6386827
1861,29.58014709,86.71709263,966.5043159
1862,29.46463021,86.58869962,996.1574259
1863,29.34911333,86.4603066,1033.598013
1864,29.23359644,86.33191359,1078.826076
1865,29.11807956,86.20352057,1119.729663
1866,29.00256267,86.07512755,1156.308773
1867,28.88704579,85.94673454,1188.563407
1868,28.7715289,85.81834152,1216.493564
1869,28.65601202,85.68994851,1246.764759
1870,28.54049514,85.56155549,1279.376993
1871,28.57341853,85.6735601,1314.330266
1872,28.60634192,85.78556472,1351.624578
1873,28.63926531,85.89756933,1382.607324
1874,28.67218871,86.00957394,1407.278503
1875,28.7051121,86.12157855,1425.638117
1876,28.73803549,86.23358316,1437.686165
1877,28.77095888,86.34558777,1450.784231
1878,28.80388228,86.45759239,1464.932315
1879,28.83680567,86.569597,1480.130417
1880,28.86972906,86.68160161,1496.378537
1881,28.90870392,86.66228207,1511.694667
1882,28.94767878,86.64296253,1526.078808
1883,28.98665364,86.62364298,1539.530958
1884,29.0256285,86.60432344,1552.051118
1885,29.06460336,86.5850039,1565.475093
1886,29.10357822,86.56568435,1579.802881
1887,29.14255308,86.54636481,1595.034483
1888,29.18152794,86.52704527,1611.169898
1889,29.2205028,86.50772573,1627.749284
1890,29.25947766,86.48840618,1644.77264
1891,29.29845252,86.46908664,1662.239966
1892,29.33742738,86.4497671,1680.151262
1893,29.37640224,86.43044756,1698.338312
1894,29.4153771,86.41112801,1716.801115
1895,29.45435196,86.39180847,1735.539671
1896,29.49332682,86.37248893,1754.553981
1897,29.53230168,86.35316939,1774.32605
1898,29.57127654,86.33384984,1794.855878
1899,29.6102514,86.3145303,1816.143464
1900,29.64922626,86.29521076,1838.188809
1901,29.68820112,86.19612863,1861.750766
1902,29.72717598,86.0970465,1886.829334
1903,29.76615084,85.99796437,1913.424513
1904,29.8051257,85.89888225,1941.536303
1905,29.84410056,85.79980012,1968.324849
1906,29.88307542,85.70071799,1993.790149
1907,29.92205028,85.60163586,2017.932204
1908,29.96102514,85.50255373,2040.751014
1909,30,85.40347161,2064.874574
1910,31,85.30438948,2090.302884
1911,29.9,85.47675314,2117.035944
1912,29.8,85.64911681,2145.073753
1913,29.5,85.82148047,2169.453664
1914,29.9,85.99384414,2190.175675
1915,29.5,86.16620781,2207.239787
1916,29.1,86.33857147,2220.646
1917,28.5,86.51093514,2239.430909
1918,28.2,86.6832988,2263.594513
1919,26.1,86.85566247,2293.136814
1920,27.7,87.02802613,2328.05781
1921,28.1,87.16829877,2361.227531
1922,26.2,87.3085714,2392.645976
1923,26,87.44884403,2422.313145
1924,26.1,87.58911666,2450.229039
1925,25.1,87.72938929,2481.334897
1926,24.2,87.86966192,2515.630717
1927,23.5,88.00993456,2553.116501
1928,22.2,88.15020719,2593.792248
1929,21.2,88.29047982,2635.640165
1930,21.3,88.43075245,2678.660252
1931,20.2,88.70706964,2722.852507
1932,19.5,88.98338683,2768.216933
1933,18.4,89.25970401,2816.987672
1934,19,89.5360212,2869.164725
1935,18.7,89.81233839,2924.748091
1936,18.4,90.08865557,2983.737771
1937,18.7,90.36497276,3037.767447
1938,19.2,90.64128995,3086.83712
1939,18.8,90.91760714,3130.946789
1940,19.4,91.19392432,3170.096454
1941,20.3,91.4008805,3208.304359
1942,22.2,91.60783668,3245.570505
1943,22.7,91.81479286,3281.894891
1944,21.2,92.02174904,3317.277518
1945,20.4,92.22870522,3347.849245
1946,24.1,92.4356614,3373.610073
1947,26.6,92.64261758,3394.560002
1948,24.9,92.84957375,3410.699031
1949,24.5,93.05652993,3432.304078
1950,24.1,93.26348611,3459.375141
1951,24.9,93.41885485,3491.912222
1952,25.1,93.57422359,3529.915319
1953,25.1,93.72959232,3569.055599
1954,25.3,93.88496106,3609.33306
1955,25,94.0403298,3650.747704
1956,25.2,94.19569853,3693.299529
1957,25.3,94.35106727,3729.165741
1958,24.5,94.50643601,3758.346339
1959,24,94.66180474,3780.841324
1960,23.7,94.81717348,3796.650695
1961,23.3,94.86545613,3820.963096
1962,22.4,94.91373878,3853.778527
1963,21.7,94.96202144,3895.096987
1964,21.1,95.01030409,3944.918477
1965,19.5,95.05858674,3985.675013
1966,18.4,95.10686939,4017.366596
1967,17.8,95.15515204,4039.993225
1968,17.6,95.2034347,4053.5549
1969,17.9,95.25171735,4067.329575
1970,18.4,95.3,4081.317249
1971,17.2,95.15,4095.517923
1972,15.6,95,4109.931596
1973,14.8,94.85,4124.558268
1974,14.8,94.7,4139.397939
1975,14.6,94.55,4154.45061
1976,14.6,94.4,4169.716281
1977,15.1,94.25,4191.638645
1978,15,94.1,4220.217704
1979,15.6,93.95,4255.453457
1980,15.9,93.8,4297.345903
1981,15.8,93.63,4342.768105
1982,15.9,93.46,4391.720063
1983,15.6,93.29,4444.201776
1984,15.6,93.12,4500.213245
1985,15.8,92.95,4550.595821
1986,15.6,92.78,4595.349504
1987,15.7,92.61,4634.474295
1988,16,92.44,4667.970192
1989,16.4,92.27,4698.180564
1990,16.7,92.1,4725.105408
1991,16.2,91.78,4748.744727
1992,15.8,91.46,4769.098519
1993,15.4,91.14,4790.45994
1994,15,90.82,4812.828989
1995,14.6,90.5,4836.205668
1996,14.4,90.18,4860.589975
1997,14.2,89.86,4881.920047
1998,14.3,89.54,4900.195884
1999,14.2,89.22,4915.417485
2000,14.4,88.9,4927.584852
2001,14.1,88.72,4940.297706
2002,13.9,88.54,4953.556047
2003,14.1,88.36,4967.359876
2004,14,88.18,4981.709193
2005,14,88,4998.516025
2006,14.3,87.82,5017.780373
2007,14.3,87.64,5039.502236
2008,14,87.46,5063.681614
2009,13.5,87.28,5086.67945
2010,13,87.1,5108.495743
2011,12.7,86.98,5129.130494
2012,12.6,86.86,5148.583702
2013,12.4,86.74,5166.913047
2014,12.5,86.62,5184.11853
2015,12.4,86.5,5200.200151
2016,12.2,86.45,5215.157909
2017,11.8,86.4,5230.526353
2018,11.6,86.35,5246.305483
2019,11.4,86.3,5262.495298
2020,11,86.35,5279.095798
2021,11,85.875,5295.295798
2022,11,85.4,5311.095798